LSOA21CD,Higher_manager_administrative_professional,Lower_supervisory&technical_occupations,Semi-routine_occupations,Routine_occupations,NeverWorked&Long-term_unemployed,Full-time_students,Lower_manager_administrative_professional,Intermediate_occupations,Small_employers&ownaccount_workers
E01005790,14.6846,4.2399,12.4095,10.031,8.7901,6.515,21.7166,12.7198,8.8935
E01005791,19.3191,4.038,10.5305,7.1259,5.2257,6.0966,24.7823,13.3808,9.5012
E01005792,25.7025,2.6446,7.0248,3.3058,2.8099,5.7851,29.4215,14.4628,8.843
E01005793,15.2893,4.2149,11.157,6.281,6.8595,4.7934,26.1983,14.6281,10.5785
E01005794,22.7772,2.8971,7.992,5.2947,4.995,3.6963,28.4715,13.5864,10.2897
E01005795,22.74,3.0755,9.3197,4.4734,6.0578,4.1938,26.2815,13.1407,10.7176
E01005796,28.0512,2.1654,6.9882,3.5433,3.5433,5.6102,27.3622,15.0591,7.6772
E01005797,13.3975,4.2032,12.697,11.0333,6.8301,5.9545,25.3065,13.3975,7.1804
E01005798,17.0183,3.8678,9.7046,8.1575,11.1814,4.782,23.699,11.955,9.6343
E01005799,7.0295,7.8609,12.6228,17.0068,13.4543,7.6342,15.3439,11.5646,7.483
E01005800,19.8185,4.1604,8.0938,7.6399,5.0681,4.7655,26.5507,13.767,10.1362
E01005801,15.873,4.468,10.2881,8.4068,4.9971,5.4086,26.455,14.5209,9.5826
E01005802,22.2129,3.6044,8.3822,6.119,3.8558,5.8676,26.4878,12.4057,11.0645
E01005803,25,3.7326,6.4236,5.4687,2.8646,4.5139,27.8646,13.8021,10.3299
E01005804,15.5098,4.9892,10.6291,11.1714,6.7245,7.2668,24.4035,12.4729,6.833
E01005805,18.5918,4.2722,9.0981,6.25,3.0063,5.7753,28.0854,15.5854,9.3354
E01005806,14.3574,6.8273,10.1406,7.9317,5.2209,5.3213,24.7992,16.1647,9.2369
E01005807,17.5602,4.7397,7.5369,5.5167,6.0606,5.439,26.4957,16.9386,9.7125
E01005808,28.5064,2.5501,7.5592,4.2805,4.0984,5.3734,27.0492,10.6557,9.9271
E01005809,20.5205,3.6036,7.5075,4.1041,5.1051,5.1051,27.2272,15.3153,11.5115
E01005810,22.0392,2.902,6.902,5.0196,8,5.0196,26.2745,13.3333,10.5098
E01005811,21.6899,2.8746,10.453,5.1394,3.223,4.7038,24.7387,16.3763,10.8014
E01005812,32.0281,2.1084,5.1205,2.8112,5.6225,4.6185,25.1004,11.3454,11.245
E01005813,19.224,4.9383,8.9947,5.1146,5.2028,3.9683,26.7196,14.9912,10.8466
E01005814,18.6175,3.318,9.5853,5.8986,5.8986,4.424,24.1475,16.5899,11.5207
E01005815,17.8992,3.9496,9.1597,7.8151,5.1261,5.2101,24.7059,16.2185,9.916
E01005816,11.8495,5.5244,14.3315,12.0897,7.2858,4.8038,19.8559,15.9327,8.3267
E01005817,12.7586,5.3448,12.6724,10.1724,7.5862,4.8276,25.0862,13.3621,8.1897
E01005818,8.9035,5.9981,12.746,12.2774,11.1528,5.9044,21.7432,12.9335,8.3411
E01005819,13.6608,5.142,9.9002,8.5955,5.7559,4.4513,27.0146,16.0399,9.4398
E01005820,15.1391,5.1555,10.1473,12.0295,6.6285,4.9918,24.3863,12.8478,8.6743
E01005821,11.1588,4.8069,13.6481,11.6738,9.3562,4.2918,21.8884,14.4206,8.7554
E01005822,9.1429,6.2222,13.7778,15.746,13.0159,5.3968,16.127,12.8889,7.6825
E01005823,11.5294,4.3922,12.4706,14.1961,7.5294,5.4902,21.2549,14.5098,8.6275
E01005824,8.9934,6.1056,12.0462,12.5413,7.5908,5.4455,21.1221,15.9241,10.231
E01005825,14.3485,4.6852,9.1508,10.5417,7.0278,6.6618,21.3763,16.325,9.8829
E01005826,3.411,5.9068,14.8918,18.7188,16.3894,6.9884,12.0632,13.3111,8.3195
E01005827,12.7995,4.9966,10.6092,10.1985,6.9131,4.7228,23.8877,15.0582,10.8145
E01005828,3.9683,5.754,15.873,19.9405,13.0952,11.5079,11.5079,12.5992,5.754
E01005829,9.6154,5.8761,12.9274,12.8205,10.8974,6.6239,18.8034,14.1026,8.3333
E01005830,13.0056,5.5511,11.5781,9.6749,6.5821,4.5995,22.7597,17.2086,9.0404
E01005831,13.4146,4.4207,8.2317,10.1372,6.0213,4.7256,27.2866,16.6159,9.1463
E01005832,11.176,5.588,12.7606,11.8432,6.0884,4.3369,22.1018,16.0133,10.0917
E01005833,15.1203,4.2383,11.9129,8.7056,8.5911,5.0401,20.7331,14.6621,10.9966
E01005834,10.4046,5.3675,14.2857,12.8819,7.6796,7.019,17.0933,15.1115,10.1569
E01005835,14.2979,5.5651,9.9315,7.7911,4.024,3.5103,27.226,16.2671,11.387
