MSOA21CD,JobAccess
E02000708,917294.1827
E02000709,921800.9604
E02000710,1022895.351
E02000711,1081873.179
E02000712,970314.6467
E02000713,951153.9852
E02000714,1344745.678
E02000715,1155113.857
E02000716,1272794.174
E02000717,1200206.247
E02000718,988215.529
E02000719,1301327.973
E02000720,1213795.963
E02000721,1251321.306
E02000722,1382508.653
E02000723,1154980.463
E02000724,1100256.337
E02000725,1461471.214
E02000727,1242025.991
E02000728,1132724.106
E02000729,1291249.813
E02000730,1246888.363
E02000731,1223324.821
E02000732,1250844.63
E02000733,1379303.161
E02000734,1402608.211
E02000735,1319120.908
E02000736,1055852.066
E02000737,1107385.968
E02000738,1211275.305
E02000739,1394742.021
E02000740,1453568.773
E02000741,1282344.58
E02000742,1120227.687
E02000743,1440760.848
E02000744,1370304.493
E02000745,1143546.635
E02000746,1240093.495
E02000747,1430101.943
E02000748,1213956.52
E02000749,1359830.286
E02000751,1005181.161
E02000752,883090.0482
E02000753,893650.3661
E02000754,1079386.835
E02000755,948181.4335
E02000756,905307.2992
E02000757,1209564.374
E02000758,863886.5735
E02000759,1162339.151
E02000760,833505.7165
E02000762,1214933.45
E02000763,974247.6561
E02000764,1269831.011
E02000765,1160162.487
E02000767,1071349.485
E02000768,1345739.84
E02000770,1002764.32
E02000772,908326.7145
E02000773,1087188.786
E02000774,1024578.915
E02000776,1170130.797
E02000777,1274723.693
E02000779,1230177.223
E02000781,937641.3499
E02000782,1085642.089
E02000783,1082241.738
E02000784,1278701.127
E02000785,1391474.092
E02000786,1304956.322
E02000787,1280989.001
E02000788,1315626.427
E02000789,1309571.049
E02000790,1132639.67
E02000791,1296028.373
E02000792,1210826.88
E02000793,914068.3073
E02000794,1077458.672
E02000795,1090331.259
E02000796,1020986.59
E02000797,1023781.532
E02000798,1018033.777
E02000799,1054659.414
E02000800,883964.1113
E02000801,970017.4104
E02000802,1052866.001
E02000803,982524.0729
E02000804,971403.4508
E02000805,956104.9586
E02000806,1081843.707
E02000807,1612206.716
E02000808,2118230.968
