BUA22CD,ResPop65plus,ResPop75plus,ResPop85plus
E63002909,24.4,12.1,3.2
E63002913,18.1,7.6,1.8
E63002915,21,9.8,2.5
E63002918,20.2,9.7,2.8
E63002919,16.6,8,2.5
E63002927,22.9,11.1,3
E63002929,21.7,10.7,2.8
E63002941,21.5,10.2,2.7
E63002944,22.7,11,3.2
E63002951,20.3,8.7,2.2
E63002952,19.6,8.9,2.4
E63002956,28.7,14.8,4.4
E63002958,15.9,7.5,2.1
E63002980,20.6,8.1,1.9
E63002991,19.9,10.1,3
E63002995,22.7,13.3,3.9
E63002996,26.3,14.3,4.6
E63003006,14.4,6.9,2
E63003011,22,11.3,3.6
E63003015,16.4,6.7,1.7
E63003016,17.2,8.1,2.2
E63003035,24.8,12.7,3.8
E63003044,27.9,14.3,3.7
E63003049,22,10.3,2.6
E63003068,16.7,8.3,2.3
E63003073,32.5,15.4,3.7
E63003075,26.4,13.6,4.2
E63003081,18.9,9.2,2.7
E63003087,32.3,17,5.5
E63003088,15.9,7.1,1.6
E63003119,22.3,10.3,2.8
E63003126,9.1,4.5,1.4
E63003129,16.9,8,2.5
E63003134,20.6,8.7,2.3
E63003136,15,7.1,2.1
E63003147,21,9.6,2.6
E63003152,26.4,14,4.3
E63003157,28.2,13.7,3.5
E63003177,17.6,7.7,2.1
E63003178,17.5,8.7,2.5
E63003192,20,9.6,2.9
E63003193,18,7.4,2.2
E63003199,6,2.3,0.6
E63003204,16.7,7.4,1.7
E63003218,19.6,8.9,2.5
E63003230,15.9,7.2,2.1
E63003251,22.5,10.8,3.6
E63003260,23.2,11.3,3.4
E63003267,19.5,8.9,2.4
E63003268,18.2,7.5,1.8
E63003269,9.2,4.3,0.9
E63003278,15.9,7.7,2.4
E63003283,16,7.7,2.4
E63003308,16.6,7.7,2.2
E63003313,22,11.4,3.3
E63003319,20.8,8.8,2
E63003321,18.1,8.9,2.7
E63003328,25.9,13.3,3.7
E63003332,23.3,12,4.6
E63003342,16.5,7.2,1.8
E63003344,18.5,9.5,2.8
E63003350,22.9,10.9,3
E63003358,25.5,11.9,3.2
E63003369,20.4,10.6,3.2
E63003390,14.5,6.5,1.9
E63003403,18.6,8.7,2.3
E63003414,5.4,2.7,0.7
E63003426,24.9,12.3,3.9
E63003439,18.5,8.9,2.8
E63003443,11.2,5.3,1.6
E63003447,29.2,15.2,4.6
E63003490,17.2,7.9,2.2
E63003491,28,14.4,4.6
E63003496,23.4,11.7,3.2
E63003502,24.3,12.3,3.9
E63003551,25.4,13.5,4.8
E63003553,19.5,8.8,2.3
E63003563,24.6,11.6,3.5
E63003597,15.6,7.4,2.5
E63003598,18.3,7.6,2.1
E63003614,22.5,10.8,3.4
E63003618,19.8,8.1,2.3
E63003623,32.8,17.9,6.5
E63003643,16.7,6.8,2.1
E63003664,15.8,6.6,1.8
E63003695,26.7,13.3,4.2
E63003697,29.5,15.6,4.5
E63003709,16.4,7.5,2
E63003712,20.3,10.2,3.1
E63003723,14.8,7,1.7
E63003736,16.8,7.8,2.4
E63003738,7.8,3.7,1.1
E63003740,15.4,6.9,2
E63003760,21.1,9.1,2.7
E63003770,19.3,9,2.7
E63003775,26.7,14,4.5
E63003783,13.7,6.3,1.1
E63003795,11.7,4.8,1.1
E63003805,23.1,11.7,3.2
E63003814,19.7,9.1,2.6
E63003818,15.1,7.1,2
E63003822,27.4,13.9,4.1
E63003830,19,9.4,2.8
E63003845,16.2,7.4,2.4
E63003858,11.6,4.4,1.1
E63003866,20.9,10.5,3.8
E63003882,16.3,7.5,2.3
E63003884,18.2,9.4,2.9
E63003888,31.6,16.8,5.5
E63003898,15.9,6.8,1.6
E63003899,14.5,5.8,1.7
E63003927,17.6,7.6,2
E63003946,29.3,14.5,4.4
E63003956,17.6,8.1,2.3
E63003957,18.7,9.5,3.2
E63003960,16.1,7.4,2
E63003977,20.1,10.1,3.1
E63003982,25.2,13,4.1
E63003985,21.3,10.3,2.8
E63004012,24.8,11.9,3.3
E63004016,20.6,10,2.7
E63004029,18.9,8.9,2.3
E63004031,17.4,8.6,2.9
E63004063,23.2,11.4,2.9
E63004070,21.3,11.1,3.4
E63004082,24.1,12.5,3.8
E63004097,24.8,12.4,3.2
E63004104,14.6,6.9,2.1
E63004105,17.1,7.7,2.1
E63004113,14.8,6.9,2.2
E63004118,16,7.6,2.3
E63004125,28.5,14.5,4.5
E63004127,12.3,4.9,1.4
E63004136,18,8.4,2.5
E63004145,12,5.6,1.6
E63004154,13.3,6,1.7
E63004157,25.3,11.8,2.7
E63004164,12.6,4.8,1.5
E63004165,21.1,10.5,3.4
E63004173,18.6,9.2,2.9
E63004175,16.8,8,2.1
E63004180,39.4,20.1,5.8
E63004186,14.3,6.2,1.3
E63004187,15.7,6.9,1.6
E63004191,15.6,7.3,2.4
E63004192,21.4,11.2,3.2
E63004193,35.4,17.8,5.6
E63004269,17.1,8.2,2.4
E63004275,28,13.7,3.6
E63004289,13.6,6,1.7
E63004294,26.4,12.7,3
