OA21CD,MortgageDebt
E00000961,88911.39
E00000962,84892.41
E00000963,93828.46
E00000964,90320.67
E00000965,94324.9
E00000966,120943.16
E00000967,92220.88
E00000968,82044.46
E00000969,114119.23
E00000970,111147.38
E00000971,111861.82
E00000972,99140.25
E00000973,75474.85
E00000974,110408.04
E00000975,106108.28
E00000976,92179.64
E00000977,74307.45
E00000978,112506.44
E00000979,106239.57
E00000980,122774.65
E00000981,117263.85
E00000982,110285.77
E00000983,118899.36
E00000984,157366.37
E00000985,122686
E00000986,60703.55
E00000987,101269.44
E00000988,103328.67
E00000990,93186.48
E00000991,78016.37
E00000992,66619.96
E00000993,100781.95
E00000994,112715.73
E00000995,77589.64
E00000996,74740.3
E00000997,64323.69
E00000998,111579.68
E00000999,105156.54
E00001000,109256.97
E00001001,104800.85
E00001002,104650.04
E00001003,104024.55
E00001004,86015.77
E00001005,115477.8
E00001006,92380.73
E00001007,119850.55
E00001008,89374.51
E00001009,97249.12
E00001010,116401.62
E00001011,122093.71
E00001012,167888.61
E00001013,104605.39
E00001014,131670.24
E00001015,145601.77
E00001016,108325.7
E00001017,183228.14
E00001018,145084.23
E00001019,146406.95
E00001020,166503.4
E00001021,139809.05
E00001022,163393.28
E00001023,163589.53
E00001024,166972.82
E00001025,148092.41
E00001026,114832.13
E00001027,148176.87
E00001028,140691.36
E00001029,164322.46
E00001030,145722.17
E00001031,148176.87
E00001032,153384.59
E00001033,156886.6
E00001034,163723.33
E00001035,134174.46
E00001036,171918.14
E00001037,131270.85
E00001038,154529.1
E00001039,186617.14
E00001040,147928.86
E00001041,116727.95
E00001042,169329.52
E00001043,163330
E00001044,138390.44
E00001045,114014.87
E00001046,142161.82
E00001047,162222.74
E00001048,61527.08
E00001049,147900.34
E00001050,104952.77
E00001051,116643.7
E00001052,153758.59
E00001053,120732.28
E00001054,123544.47
E00001055,96474.12
E00001056,106323.12
E00001057,183503.31
E00001058,106440.57
E00001059,117849.72
E00001060,117712.82
E00001061,53460.01
E00001062,75079.64
E00001063,122309.65
E00001064,110854.27
E00001065,84311.03
E00001066,60494.38
E00001067,86775.18
E00001068,79775.24
E00001069,64248.82
E00001071,83080.32
E00001072,74628.91
E00001073,75682.08
E00001074,70968.88
E00001075,76031.15
E00001076,54847.81
E00001077,59037.24
E00001078,65915.38
E00001079,75094.33
E00001081,47469.78
E00001082,62806.17
E00001083,57658.12
E00001084,57234.65
E00001085,55186.66
E00001086,61990.5
E00001087,57408.76
E00001089,62806.17
E00001090,62295.55
E00001091,61817.09
E00001092,116485.38
E00001093,106639.84
E00001094,84713.14
E00001095,113084.35
E00001096,88924.56
E00001097,89220.91
E00001098,105466.49
E00001099,111269.62
E00001100,85109.29
E00001101,122116.65
E00001102,87509.21
E00001103,112138.91
E00001104,74010.4
E00001105,126189.8
E00001106,79150.01
E00001107,68399.68
E00001108,194010.67
E00001109,73908.38
E00001110,76218.01
E00001111,76751.01
E00001112,79692.51
E00001113,78219.7
E00001114,85741.79
E00001115,76311.9
E00001116,80448.94
E00001117,215762.82
E00001118,135901.32
E00001119,90928.16
E00001120,92906.48
E00001121,95367.86
E00001122,131965.26
E00001123,122515.03
E00001124,93391.73
E00001125,91575.98
E00001126,93422.27
E00001127,127254.62
E00001128,79342.82
E00001129,86876.41
E00001130,114817.48
E00001131,140680.17
E00001132,88920.1
E00001133,85518.98
E00001134,61668.77
E00001135,117162.64
E00001136,78919.12
E00001137,80731.32
E00001138,73908.38
E00001139,114578.17
E00001140,71955.14
E00001141,86582.91
E00001142,66517.54
E00001143,109703
E00001144,91717.76
E00001145,74509.26
E00001146,75100.45
E00001147,75150.54
E00001148,76371.99
E00001149,117443.6
E00001150,109703
E00001151,108503.32
E00001152,121073.68
E00001153,117486.31
E00001154,77798.29
E00001155,105878.92
E00001156,118875
E00001157,103846.44
E00001158,92553.69
E00001159,85574.26
E00001160,64140.93
E00001161,67451.25
E00001162,89788.11
E00001163,88101.92
E00001164,29939.53
E00001165,44607.51
E00001166,76485.8
E00001167,79498.65
E00001168,92690.24
E00001169,79877.22
E00001170,116789.71
E00001171,88745
E00001172,90556.42
E00001173,75436.82
E00001174,73944.18
E00001175,102178.22
E00001176,108230.32
E00001177,79056.12
E00001178,67239
E00001179,66296.46
E00001180,62560.01
E00001181,99597.97
E00001182,106776.2
E00001183,94822.73
E00001184,83303.37
E00001185,73553.08
E00001186,98767.99
E00001187,69688.45
E00001188,94395.09
E00001189,57771.74
E00001191,63707.22
E00001192,107086.54
E00001193,95240.56
E00001194,74832.88
E00001195,106776.2
E00001196,97052.11
E00001197,70084.47
E00001198,91079.23
E00001199,74188.9
E00001200,99139.62
E00001201,86458.49
E00001202,84987.64
E00001203,79233.28
E00001204,75031.05
E00001205,82327.3
E00001207,82408.43
E00001208,128614.05
E00001209,123900.23
E00001210,82512.28
E00001212,83359.38
E00001213,109333.45
E00001214,92561.35
E00001215,109131.1
E00001216,95068.03
E00001217,107915.31
E00001218,108980.51
E00001219,96618.22
E00001220,58973.42
E00001221,109032.2
E00001222,109655.24
E00001223,80665.55
E00001224,106267.75
E00001226,111741.07
E00001227,80822.01
E00001228,87522.52
E00001229,78912.83
E00001230,96562.37
E00001231,81408.9
E00001232,80270.8
E00001233,96619.6
E00001234,126169.69
E00001235,70463.96
E00001236,81910
E00001237,81783.5
E00001238,82470.26
E00001239,76489.48
E00001240,82976.63
E00001241,82188.74
E00001242,74103.71
E00001243,60436.13
E00001244,73834.36
E00001245,81784.3
E00001246,88515.26
E00001247,72403.75
E00001248,74852.72
E00001249,117185.43
E00001250,78387.42
E00001251,83924.11
E00001252,90864.78
E00001253,115956.34
E00001254,109383.83
E00001255,108167.09
E00001256,117670.68
E00001257,113084.05
E00001258,122231.79
E00001259,104344.13
E00001261,189883.08
E00001262,167994.21
E00001265,147856.96
E00001266,193416.11
E00001267,201901.23
E00001268,69181.65
E00001269,167329.17
E00001270,98119.19
E00001271,126058.53
E00001272,137865.31
E00001273,115643.98
E00001274,132277.02
E00001275,99254.48
E00001276,128605.6
E00001277,100165.45
E00001278,117819.21
E00001279,132432.19
E00001280,134657.01
E00001281,168685.77
E00001282,120470.88
E00001283,116886.51
E00001284,121693.61
E00001285,135016.5
E00001286,155445.93
E00001288,107420.27
E00001289,155701.93
E00001290,109682.44
E00001291,159227.06
E00001292,130581.83
E00001293,116464.15
E00001294,82897.19
E00001295,152897.65
E00001296,203293.99
E00001297,186605.68
E00001298,190879.09
E00001299,208934.56
E00001300,191232.27
E00001301,184610.5
E00001302,94961.56
E00001303,89826.31
E00001304,92231.42
E00001305,95277.7
E00001306,82061.84
E00001307,118717.9
E00001308,123839.41
E00001309,114551.82
E00001310,111727.22
E00001311,127235.6
E00001312,130708.34
E00001313,142346.54
E00001314,124358.81
E00001315,124025.28
E00001316,110866.17
E00001317,107231.21
E00001318,105083.85
E00001319,113830.05
E00001320,109846.61
E00001321,109804.76
E00001322,106689.64
E00001323,112257.67
E00001324,108855.93
E00001325,106265.16
E00001326,110746.99
E00001327,103169.42
E00001328,115141.71
E00001329,113538.93
E00001330,108831.68
E00001331,116979.5
E00001333,97759.21
E00001334,92800.41
E00001335,90340.95
E00001336,92764.22
E00001337,97792.15
E00001338,92753.15
E00001339,90951.36
E00001340,94175.38
E00001341,92668.21
E00001342,97405.43
E00001343,59777.61
E00001344,86524.9
E00001345,92028.52
E00001346,88492.31
E00001347,88024.92
E00001348,126155.97
E00001349,114869.1
E00001350,87088.28
E00001351,78053.14
E00001352,95660.36
E00001353,113802.25
E00001354,96600.05
E00001355,121495.64
E00001356,111426.1
E00001357,81236.88
E00001358,73068.34
E00001359,75196.19
E00001360,124256.91
E00001361,84322.34
E00001362,124215.7
E00001363,121495.64
E00001364,129462.57
E00001365,126097.75
E00001366,119293.49
E00001367,193019.38
E00001368,207934.82
E00001369,189332.01
E00001370,209011.68
E00001371,92169.39
E00001372,194723.68
E00001374,180819.4
E00001375,187994.78
E00001376,121402.84
E00001377,120635.11
E00001378,94216.06
E00001379,91912.47
E00001380,197466.27
E00001381,191194.29
E00001382,193389.12
E00001383,121385.74
E00001384,109033.42
E00001385,130994.1
E00001386,185124.63
E00001387,95091.83
E00001388,94448.68
E00001389,142310.14
E00001390,102948.82
E00001391,160992.95
E00001392,81293.02
E00001393,126097.75
E00001394,125383.5
E00001395,132779.1
E00001396,84125.83
E00001397,74549.14
E00001398,72725.65
E00001399,74691.02
E00001400,114705.95
E00001401,80394.13
E00001402,64950.18
E00001403,53713.16
E00001404,76407.65
E00001405,53311.3
E00001406,75781.35
E00001407,53921.35
E00001408,113672.03
E00001410,77644.83
E00001411,77446.88
E00001412,82060.24
E00001413,78562.32
E00001415,81326.33
E00001416,77003.63
E00001417,78026.73
E00001418,75781.35
E00001419,69814.32
E00001420,77691.81
E00001421,77829.5
E00001422,118124.16
E00001423,123035.75
E00001424,78342.57
E00001425,103443.35
E00001426,89396.51
E00001427,79634.39
E00001428,75265.83
E00001429,59353.81
E00001430,79410.28
E00001431,85163.81
E00001432,77465.38
E00001433,81281.61
E00001434,75781.35
E00001435,121121.17
E00001436,118211.44
E00001437,77044.38
E00001438,76483.03
E00001439,106621.6
E00001440,75184.65
E00001441,122090.14
E00001442,81817.04
E00001443,79952.8
E00001444,119975.79
E00001445,78077.76
E00001446,103774.77
E00001447,74165.63
E00001448,96854.93
E00001449,91698.2
E00001450,104797.95
E00001451,88541.77
E00001452,106669.34
E00001453,94848.19
E00001454,89822.48
E00001455,80712.44
E00001456,87358.79
E00001457,90270.75
E00001458,91208.69
E00001459,90223.01
E00001460,85339.83
E00001461,82214.33
E00001462,85054.36
E00001463,87993.08
E00001464,85185.69
E00001465,84467.78
E00001466,83499.57
E00001467,76263.2
E00001468,65956.36
E00001469,75845.78
E00001470,121497.88
E00001471,76034.52
E00001472,126713.2
E00001474,69416.7
E00001475,93107.88
E00001476,76856.81
E00001477,74168.22
E00001478,66853.42
E00001479,68234.36
E00001480,82627.95
E00001481,98248.07
E00001482,73500.04
E00001483,96249.81
E00001484,96107.38
E00001485,107371.11
E00001486,105053.75
E00001487,96909.31
E00001488,102510.69
E00001489,96142.76
E00001490,96748.4
E00001491,100912.13
