BUA22CD,BUSA22NM,ResPop65plus,ResPop75plus,ResPop85plus
E63002408,Coalville,16.7,7.2,1.9
E63002413,Taverham and Drayton,23.3,11.7,3.3
E63002415,Mountsorrel,17.8,8.7,2.4
E63002425,Penkridge,25.9,12.1,3
E63002444,Shrewsbury,21.1,10.1,2.8
E63002445,Dereham,23.7,12,3.3
E63002465,Caister-on-Sea,32.1,15.9,4.3
E63002466,Measham,19.4,8.4,1.6
E63002472,Syston,21,9.4,2.8
E63002477,Cannock,18.6,8.4,2.1
E63002492,Ibstock,18.4,8.2,1.9
E63002496,Market Deeping,25.3,11.4,3.3
E63002505,Telford,16.6,7.2,1.8
E63002507,Norwich,17.8,8.6,2.7
E63002509,Wisbech,20.1,9.4,2.9
E63002511,Deeping St James,22.6,9.3,2.3
E63002516,Birstall,20.9,10.6,3.3
E63002522,Lichfield,24.4,12.1,3.3
E63002524,Thurmaston,21.9,10,2.9
E63002526,Burntwood,25,12.1,2.3
E63002527,Oakham,26.8,14.1,4.1
E63002532,Anstey,21.4,10.5,2.7
E63002534,Bayston Hill,28.4,14.1,3.8
E63002537,Swaffham,32.9,17.6,5.6
