TwCty11CD,Age65plus,Age75plus,Age85plus,MeanAge,MedianAge
E34003104,0.287545678,0.133529024,0.04277242,47.3,51
E34003109,0.182247403,0.084446243,0.024011871,40.2,40
E34003112,0.195405239,0.09537454,0.029164961,40.4,40
E34003124,0.229615082,0.123095051,0.038256088,43.2,44
E34003129,0.303454956,0.150080723,0.045334194,48.5,52
E34003154,0.18836387,0.085663774,0.019607843,41.4,43
E34003165,0.3149628,0.174979333,0.057316065,47.8,50
E34003168,0.250959151,0.138117806,0.047054841,44.6,45
E34003174,0.20098475,0.104356151,0.03179922,42.3,43
E34003178,0.246912231,0.120887529,0.040113674,45.3,48
E34003196,0.182911944,0.088927637,0.028770706,39.7,41
E34003205,0.147964549,0.070001502,0.021030494,39.8,41
E34003206,0.254303376,0.128388017,0.038421303,44.6,46
E34003218,0.175336765,0.074252546,0.020917753,40.1,41
E34003222,0.173556108,0.086084292,0.026189513,40.8,42
E34003241,0.141330576,0.066184074,0.01895898,36.6,34
E34003243,0.200308642,0.098919753,0.029166667,42,43
E34003244,0.246510846,0.124516563,0.037750126,45.9,49
E34003253,0.220535958,0.120864096,0.045255674,43,43
E34003258,0.239711332,0.13302126,0.045055588,43.6,44
E34003294,0.150341554,0.069642237,0.018756513,38.3,39
E34003297,0.064619922,0.020914332,0.003753854,31.7,35
E34003299,0.177618248,0.093672205,0.031436346,40.2,42
E34003308,0.254110182,0.130660513,0.041534468,44.2,45
E34003332,0.214550207,0.091156611,0.023524287,43.5,45
E34003343,0.222670757,0.110877873,0.034662791,43.3,44
E34003347,0.228983918,0.113486842,0.035453216,44.1,45
E34003354,0.145880595,0.066454936,0.018842243,39,39
E34003376,0.115548098,0.050559284,0.015771812,37.7,39
E34003389,0.206433896,0.102000785,0.027775598,42.7,44
E34003397,0.217605249,0.106178239,0.030399125,42.2,42
E34003412,0.182788413,0.095544638,0.035066915,40.8,41
E34003418,0.203853592,0.10708402,0.037031731,42,42
E34003424,0.177192635,0.0795882,0.025737478,40.9,42
E34003425,0.199666784,0.086197825,0.025429674,42.3,43
E34003440,0.133320581,0.061208875,0.025057383,38.8,41
E34003456,0.211882488,0.113737075,0.028229115,42.6,44
E34003462,0.21187744,0.101423558,0.025750227,41.8,43
E34003463,0.190657578,0.095328789,0.027064956,41.4,42
E34003490,0.307135096,0.143245201,0.041470482,49.8,55
E34003491,0.181244947,0.08916734,0.028132579,41.1,42
E34003494,0.254584028,0.137141991,0.050310653,45.2,46
E34003511,0.164583333,0.083564815,0.025661376,39.2,40
E34003514,0.323857503,0.176142497,0.054875855,48.7,51
E34003517,0.205422315,0.106265997,0.034884823,41.8,42
E34003525,0.167587667,0.079378196,0.024092341,39.7,40
E34003541,0.186102951,0.091582578,0.029761144,41.5,43
E34003553,0.185787625,0.091704945,0.027289922,40.7,41
E34003561,0.221240335,0.103045605,0.029035821,42.9,45
E34003562,0.155116697,0.067863555,0.018850987,37.9,38
E34003565,0.322030614,0.161402829,0.044371246,48.7,52
E34003566,0.24892633,0.132144037,0.047737033,44.8,47
E34003574,0.176727642,0.084247967,0.021747967,40.7,41
E34003596,0.168309267,0.083276033,0.02452441,39.9,40
E34003597,0.180674383,0.078761953,0.021389029,39.8,40
E34003606,0.260691647,0.13784803,0.044531814,44.7,46
E34003628,0.388684179,0.214311185,0.075121835,53.1,59
E34003657,0.174758701,0.072243346,0.013454226,40.7,42
E34003678,0.180081451,0.081821548,0.023176601,41.4,42
E34003679,0.279298884,0.141786025,0.044729762,45.4,47
E34003687,0.227276167,0.110724287,0.033224854,44.6,47
E34003688,0.174679487,0.077323718,0.017427885,40.7,43
E34003707,0.190760415,0.099558314,0.032350483,41.2,42
E34003710,0.16641047,0.085292021,0.028613876,39.5,38
E34003723,0.202994881,0.093093437,0.027733211,42.7,44
E34003741,0.170415094,0.063245283,0.015396226,40,41
E34003742,0.177758768,0.090333618,0.030624465,41.4,42
E34003743,0.19733721,0.089142245,0.025862729,42,43
E34003749,0.207852564,0.091987179,0.022115385,43.2,45
E34003750,0.183326696,0.089472986,0.02442586,40.9,41
E34003756,0.176348081,0.08122256,0.02138917,41.4,43
E34003761,0.247484175,0.127576692,0.039360493,45,47
E34003769,0.187941515,0.095011226,0.031652155,41.3,42
E34003774,0.184981012,0.092980522,0.023153252,40.8,42
E34003793,0.238512746,0.11105699,0.032148076,43.5,46
E34003804,0.233802443,0.106943707,0.028279341,44.9,47
E34003809,0.149687385,0.066568591,0.020522251,39.7,41
E34003851,0.174865394,0.08639256,0.026676456,40.6,41
E34003862,0.198220827,0.086656201,0.024594453,41.7,42
E34003864,0.20313535,0.099212483,0.027673511,41.8,43
E34003866,0.177773675,0.075318442,0.024183127,39.3,38
E34003892,0.187909546,0.083001413,0.021970962,42,44
E34003904,0.207871372,0.111444852,0.035602279,42.4,43
E34003922,0.195822454,0.089588773,0.028720627,41.8,43
E34003928,0.224026283,0.119369584,0.043614894,44,45
E34003940,0.195465686,0.08471201,0.02466299,41.6,42
E34003989,0.204235212,0.098354918,0.032026601,41.4,42
E34004012,0.272165585,0.137472969,0.043404387,46.4,48
E34004090,0.235912052,0.115635179,0.036074919,44,46
E34004099,0.233444701,0.113509809,0.030926069,43.9,45
E34004122,0.226765799,0.113273562,0.037393396,44.6,46
E34004125,0.187190012,0.094236361,0.028818197,41.4,42
E34004134,0.150874397,0.07062597,0.01961265,38.2,38
E34004138,0.179109202,0.08808501,0.026362198,40.6,41
E34004141,0.17327182,0.07842989,0.018832249,40,40
E34004142,0.208834356,0.103312883,0.029079755,41.6,42
E34004143,0.141948214,0.063383401,0.01687271,37.1,36
E34004149,0.187382434,0.091448416,0.029662856,40.6,41
E34004151,0.178454738,0.079185086,0.018931386,40.6,41
E34004153,0.283112318,0.152420514,0.049262395,47.2,50
E34004154,0.263176019,0.135712609,0.043891367,45.2,46
E34004155,0.200069914,0.083546959,0.021323701,42.6,45
E34004157,0.160809936,0.073989052,0.023838955,38.9,39
E34004162,0.149660989,0.071440384,0.022490491,39,40
E34004169,0.22759283,0.113316261,0.043854033,43.8,45
E34004170,0.133819145,0.067019985,0.019432483,39.1,40
E34004175,0.217929668,0.109088658,0.033927687,43.9,46
E34004181,0.175230392,0.080996265,0.021945236,41.1,42
E34004185,0.18280859,0.079024187,0.020746455,42,43
E34004187,0.256955412,0.147855668,0.052727494,45.5,47
E34004190,0.176283914,0.088723014,0.021230948,40.5,41
E34004191,0.22462241,0.117053038,0.039339656,44,46
E34004192,0.162321667,0.078647611,0.022343924,38.8,38
E34004193,0.179399582,0.085066405,0.026561899,41.6,42
E34004196,0.171392565,0.089981096,0.028733459,39,38
E34004197,0.230587651,0.100385141,0.02571748,44.2,46
E34004204,0.220806634,0.111496419,0.034225405,43.4,45
E34004210,0.211031261,0.108084801,0.035285663,42.9,43
E34004213,0.226852195,0.108726223,0.024720598,43.9,46
E34004217,0.165986617,0.080920516,0.022914967,40,41
E34004218,0.203938204,0.103551982,0.030327973,41.5,41
E34004222,0.148057525,0.068011585,0.018076501,39.4,40
E34004224,0.236221591,0.1203125,0.039204545,44.1,46
E34004225,0.217103504,0.101765178,0.032361594,44,46
E34004228,0.145003757,0.077385424,0.025294265,38.5,38
E34004229,0.24210234,0.129000903,0.039158509,45.5,48
E34004233,0.266988533,0.141822571,0.04019312,45.4,47
E34004240,0.200888788,0.096855059,0.028486782,41.7,43
E34004242,0.172433679,0.077133795,0.021337947,40.8,42
E34004246,0.178108242,0.09428365,0.030198152,40.6,41
E34004251,0.153339861,0.067202156,0.018282806,39.1,39
E34004252,0.205172686,0.09998423,0.030121432,43.1,44
E34004256,0.146270531,0.061601507,0.016160481,38.1,39
E34004262,0.132907543,0.064804417,0.014715516,37.6,37
E34004263,0.224383917,0.110390546,0.032137196,43.7,45
E34004266,0.160138357,0.071234926,0.024118912,39.4,39
E34004267,0.202671345,0.0902145,0.023487464,42.3,43
E34004270,0.18761302,0.080922242,0.018987342,40.8,42
E34004274,0.155173006,0.076693124,0.022849878,38.9,38
E34004277,0.191079355,0.096135109,0.026090722,41.2,42
E34004278,0.185233749,0.089767512,0.027585859,40.7,41
E34004281,0.18833748,0.091047968,0.027148531,40.8,41
E34004282,0.304859384,0.159938779,0.053663669,48.5,52
E34004292,0.17216661,0.084195792,0.024219545,40.2,40
E34004293,0.201440922,0.085721771,0.022164003,42.3,44
E34004294,0.229970084,0.118520533,0.040195812,43.6,45
E34004302,0.038724652,0.016613731,0.005252871,28.6,30
E34004306,0.193952802,0.104049343,0.035085367,41.3,41
E34004315,0.221692861,0.104884065,0.031221369,42.6,43
E34004321,0.2420138,0.11627907,0.033989267,44.5,46
E34004322,0.252346546,0.142615977,0.051792829,45.1,47
E34004327,0.262783406,0.115894838,0.031033928,45.7,48
E34004328,0.187401076,0.0889522,0.028964862,40.6,41
E34004329,0.232129477,0.105050202,0.022628503,44.3,47
E34004334,0.167491517,0.0842506,0.023868245,39.5,39
E34004335,0.276565648,0.128809636,0.029919842,46.3,49
E34004336,0.200155763,0.087449933,0.026424121,42.5,44
E34004337,0.228989977,0.106784888,0.030069391,44.2,46
E34004338,0.255267911,0.125727473,0.042745334,46.2,49
E34004340,0.207748591,0.103154612,0.028427492,42.7,44
E34004343,0.174791958,0.082738051,0.024891376,40.4,41
E34004346,0.042866825,0.019654354,0.007878685,27,24
E34004349,0.178855059,0.0899449,0.023436894,40,41
E34004354,0.263934711,0.115645077,0.028303525,47,50
E34004358,0.176901496,0.072007481,0.019014963,41.4,43
E34004367,0.198562444,0.081375947,0.020023104,42.8,45
E34004383,0.183115627,0.089816159,0.025689405,40.2,39
E34004388,0.210219828,0.100839521,0.031688261,42.9,45
E34004389,0.167617643,0.079795197,0.023539366,39.1,38
E34004392,0.179937952,0.091594032,0.030787413,40.6,40
E34004393,0.154617696,0.076388216,0.022579707,38.5,38
E34004397,0.172920065,0.080846368,0.022694559,39.6,40
E34004398,0.163178211,0.079838884,0.024479129,39.3,39
E34004399,0.160424429,0.076885912,0.022689474,39,38
E34004403,0.165696018,0.086957439,0.02826486,38.9,37
E34004408,0.211031758,0.103434873,0.03232441,42.3,43
E34004409,0.201680048,0.108757062,0.03322926,41.7,43
E34004415,0.141286527,0.066158742,0.01909538,38.5,39
E34004421,0.189685688,0.090997864,0.029966433,41.7,42
E34004422,0.152782047,0.066707654,0.01905933,39,39
E34004426,0.166614826,0.069466045,0.017522032,40.3,41
E34004435,0.225436758,0.113766597,0.031446541,42.9,44
E34004441,0.249509483,0.142086331,0.051504251,45.3,47
E34004442,0.153402771,0.069319446,0.021539084,39.3,39
E34004453,0.115240767,0.052127162,0.012622721,35.2,32
E34004458,0.207672446,0.100885282,0.029509406,42.7,45
E34004462,0.213171577,0.102519664,0.035995201,42.8,45
E34004471,0.191358806,0.094319332,0.029225709,40.9,41
E34004474,0.332401714,0.161729085,0.0437861,49.5,54
E34004479,0.178023454,0.081314253,0.022885778,40.3,41
E34004483,0.201086335,0.101315037,0.032761578,41.5,42
E34004484,0.283104026,0.150687923,0.050302104,47.2,50
E34004485,0.170006179,0.087827699,0.027981287,40.3,41
E34004487,0.154148791,0.069812703,0.018876216,37.9,32
E34004546,0.227690289,0.106463255,0.024770341,43.4,45
E35000002,0.177946214,0.083753675,0.022900763,40.2,41
E35000003,0.185251216,0.081703584,0.0241311,41,41
E35000004,0.156384629,0.070365903,0.019041875,38.5,38
E35000006,0.1639331,0.079282439,0.020205018,40.1,40
E35000012,0.133669743,0.064463336,0.018972284,37.3,36
E35000013,0.134525947,0.066348438,0.017309258,37.3,37
E35000015,0.175749776,0.074474038,0.020199194,41.3,43
E35000021,0.177047821,0.078089008,0.022942965,41.7,44
E35000027,0.180337405,0.079988365,0.019633508,41.3,43
E35000032,0.145005785,0.065561126,0.015426147,37.2,37
E35000033,0.167102597,0.078946399,0.020372076,39.3,40
E35000035,0.169373062,0.083241368,0.022859845,39,39
E35000036,0.146657081,0.062688713,0.014521927,38.6,39
E35000037,0.145340117,0.06517072,0.018939505,38,38
E35000042,0.146444497,0.064890871,0.022060549,38.7,39
E35000043,0.201866405,0.100687623,0.025458415,41.7,43
E35000044,0.181685595,0.0881052,0.024793784,41.2,42
E35000050,0.23982463,0.116280592,0.033896087,45.3,48
E35000051,0.153780726,0.076949248,0.022932328,38.3,35
E35000052,0.167571539,0.064334408,0.017267421,39.8,41
E35000056,0.232263179,0.125247721,0.038842648,43.2,45
E35000057,0.186951999,0.088943379,0.024743647,40.7,41
E35000064,0.19489887,0.08335812,0.02230815,43.2,45
E35000067,0.210014649,0.089492609,0.023838061,43.5,45
E35000069,0.224280965,0.102779302,0.022595952,42.9,44
E35000070,0.138289075,0.060277497,0.018928604,38.3,39
E35000071,0.19455048,0.098854811,0.028563907,41,41
E35000072,0.215363239,0.088328702,0.026002382,44,46
E35000079,0.203750859,0.103512388,0.032294572,41,41
E35000083,0.1674978,0.082233304,0.025129559,39.7,41
