LSOA11CD,IMD2019OverallScore,IMD2019IncomeScore,IMD2019EmploymentScore,IMD2019EducationScore,IMD2019HealthScore,IMD2019CrimeScore,IMD2019HousingServicesBarriersScore,IMD2019LivingEnvironmentScore,IMD2019IDACIScore,IMD2019IDAOPIScore,IMD2019ChildrenScore,IMD2019AdultScore,IMD2019GeographicalBarriersScore,IMD2019WiderBarriersScore,IMD2019IndoorsScore,IMD2019OutdoorsScore
E01005400,42.253,0.231,0.244,35.309,1.118,1.095,10.394,15.961,0.271,0.174,0.706,0.396,-0.497,-0.507,-0.027,0.025
E01005401,11.674,0.046,0.063,10.054,-0.034,0.707,13.698,14.011,0.028,0.075,-0.35,0.262,0.319,-3.369,-0.478,0.375
E01005402,21.33,0.11,0.083,17.188,0.673,1.136,7.817,18.602,0.154,0.154,-0.146,0.331,-0.337,-1.852,0.09,0.128
E01005403,15.561,0.07,0.066,15.867,0.325,0.77,8.128,21.324,0.095,0.09,0.093,0.281,-0.169,-2.569,0.405,-0.21
E01005406,7.963,0.034,0.055,2.333,-0.348,-0.626,24.417,19.166,0.035,0.051,-1.02,0.167,0.935,-3.385,0.302,-0.259
E01005407,8.095,0.032,0.042,2.418,-0.642,0.05,20.464,29.716,0.055,0.027,-1.081,0.176,0.731,-3.65,0.665,0.149
E01005408,7.449,0.053,0.051,3.195,-0.587,0.089,4.847,21.652,0.069,0.075,-0.853,0.178,-0.476,-3.083,0.491,-0.436
E01005409,9.539,0.033,0.035,4.111,-0.492,0.599,2.682,39.123,0.041,0.051,-0.641,0.176,-0.941,-2.852,1.219,-0.956
E01005410,8.053,0.039,0.045,6.646,-0.019,-0.222,15.167,19.11,0.05,0.065,-0.432,0.21,0.453,-4.836,0.435,-0.792
E01005411,10.166,0.079,0.062,4.314,-0.084,-0.261,15.865,14.198,0.1,0.101,-0.588,0.172,0.332,-1.937,0.157,-0.786
E01005412,6.963,0.045,0.043,6.163,-0.306,-0.168,9.154,19.672,0.061,0.052,-0.333,0.175,-0.063,-2.715,0.416,-0.546
E01005413,6.069,0.033,0.037,5.415,-0.466,-0.045,18.055,11.3,0.044,0.051,-0.64,0.212,0.588,-3.572,-0.177,-0.357
E01005414,12.962,0.039,0.043,5.084,-0.259,0.485,31.094,32.627,0.032,0.053,-0.662,0.208,1.369,-4.536,0.984,-0.72
E01005415,13.78,0.094,0.088,6.727,0.148,-0.207,4.562,22.258,0.139,0.087,-0.314,0.189,-0.909,-1.789,0.514,-0.416
E01005416,9.101,0.052,0.039,3.634,-0.176,-0.51,15.664,35.225,0.052,0.088,-0.813,0.187,0.368,-2.396,1.024,-0.366
E01005417,9.851,0.05,0.058,8.634,-0.481,0.35,18.036,15.108,0.049,0.054,-0.326,0.234,0.577,-3.335,0.03,-0.199
E01005418,8.544,0.037,0.056,8.89,0.018,-0.096,5.77,17.925,0.032,0.046,-0.451,0.254,-0.358,-3.076,0.159,-0.081
E01005419,10.015,0.062,0.044,7.095,-0.097,0.554,3.935,19.57,0.08,0.125,-0.529,0.233,-0.739,-2.526,0.229,-0.026
E01005420,18.46,0.142,0.099,14.331,0.423,-0.049,7.948,17.054,0.161,0.192,-0.108,0.291,-0.389,-1.6,0.224,-0.384
E01005421,35.984,0.219,0.146,37.73,0.873,1.028,7.823,38.131,0.269,0.253,0.741,0.413,-1.237,-0.389,1.03,0.024
E01005422,56.69,0.327,0.213,80.825,1.264,1.879,13.743,15.704,0.397,0.333,1.874,0.538,-0.715,0.717,-0.036,0.008
E01005427,56.077,0.417,0.236,68.78,0.954,0.087,17.99,33.067,0.312,0.934,0.742,0.684,-1.517,2.084,0.714,0.4
E01005428,53.274,0.328,0.177,66.388,1.026,1.335,13.424,52.444,0.254,0.541,0.869,0.598,-1.984,1.137,1.304,0.644
E01005429,54.185,0.362,0.241,71.627,1.022,0.534,15.628,26.912,0.33,0.591,0.894,0.673,-1.471,1.574,0.388,0.496
E01005430,44.553,0.259,0.154,62.139,0.801,1.134,14.063,49.483,0.257,0.337,0.765,0.579,-1.225,1.153,1.245,0.52
E01005431,36.314,0.203,0.139,32.823,0.66,1.51,8.008,45.28,0.272,0.156,0.53,0.401,-0.594,-1.027,1.119,0.519
E01005432,72.323,0.414,0.308,80.194,1.664,1.834,23.837,17.677,0.448,0.44,1.58,0.576,0.216,0.954,-0.102,0.334
E01005433,73.896,0.433,0.307,75.842,1.742,2.873,15.727,28.028,0.518,0.316,1.468,0.564,-0.712,1.159,0.428,0.529
E01005434,64.512,0.341,0.272,56.08,1.407,1.907,15.497,56.438,0.315,0.368,1.033,0.512,-1.226,1.471,1.4,0.74
E01005435,38.722,0.248,0.148,48.382,0.565,0.864,11.401,48.05,0.21,0.377,0.119,0.555,-1.205,0.535,1.161,0.672
E01005436,21.628,0.124,0.088,30.333,0.072,0.177,9.811,41.151,0.13,0.12,-0.138,0.455,-0.456,-0.768,1.055,0.278
E01005437,33.054,0.195,0.122,37.759,0.573,0.56,10.557,55.194,0.181,0.32,0.002,0.5,-1.136,0.287,1.34,0.805
E01005438,39.06,0.222,0.135,39.031,0.677,1.441,8.799,54.519,0.273,0.19,0.673,0.435,-0.874,-0.382,1.36,0.683
E01005439,24.217,0.124,0.116,31.513,0.315,0.604,6.354,32.509,0.156,0.107,0.61,0.376,-0.584,-1.689,0.718,0.33
E01005440,28.761,0.166,0.142,26.036,0.887,0.937,8.126,16.347,0.183,0.223,-0.037,0.408,-0.377,-1.567,0.055,-0.08
E01005441,40,0.218,0.206,27.584,1.089,1.323,23,14.223,0.215,0.265,0.26,0.387,0.541,-0.616,-0.015,-0.232
E01005442,9.148,0.042,0.04,9.471,-0.237,0.107,16.821,25.157,0.06,0.06,-0.388,0.257,0.529,-3.893,0.581,-0.178
E01005443,9.713,0.039,0.046,4.345,-0.296,0.684,20.621,14.994,0.058,0.046,-1.038,0.223,0.744,-3.812,0.164,-0.601
E01005444,24.506,0.145,0.106,27.656,0.499,0.87,7.551,22.696,0.219,0.14,0.228,0.392,-0.494,-1.443,0.346,0.107
E01005445,32.779,0.195,0.141,32.216,1.067,0.551,7.777,37.064,0.199,0.294,0.487,0.402,-0.647,-0.997,0.995,0.007
E01005446,23.857,0.127,0.129,23.241,0.635,0.455,14.638,19.71,0.163,0.136,0.423,0.319,0.266,-2.061,0.379,-0.387
E01005447,48.091,0.251,0.204,29.982,1.644,2.016,8.952,33.124,0.27,0.272,0.262,0.41,-0.869,-0.346,0.68,0.497
E01005448,69.837,0.368,0.309,69.974,1.903,2.086,13.5,27.221,0.363,0.397,1.721,0.491,-0.913,0.848,0.391,0.522
E01005449,42.107,0.253,0.201,51.361,1.117,0.893,16.12,14.634,0.303,0.291,1.13,0.462,-0.118,0.123,-0.061,-0.084
E01005450,41.528,0.228,0.135,57.42,0.372,1.762,11.709,48.813,0.212,0.279,1.201,0.494,-1.566,0.712,1.317,0.195
E01005451,24.079,0.146,0.098,25.297,0.306,1.097,9.29,23.491,0.182,0.125,0.385,0.347,-0.373,-1.142,0.282,0.318
E01005452,12.39,0.08,0.062,14.958,0.199,-0.238,8.301,19.173,0.103,0.095,-0.109,0.299,-0.053,-3.772,0.296,-0.243
E01005453,9.82,0.052,0.05,7.321,0.046,0.346,3.556,20.194,0.078,0.062,-1.03,0.273,-0.676,-3.097,0.395,-0.357
E01005454,18.374,0.102,0.081,22.181,-0.018,0.834,13.141,20.164,0.137,0.155,0.233,0.336,0.107,-1.69,0.412,-0.424
E01005455,19.947,0.11,0.086,20.938,0.286,0.619,4.52,31.889,0.163,0.102,-0.014,0.356,-0.841,-1.926,0.842,-0.131
E01005456,62.369,0.333,0.281,65.499,1.355,2.062,9.41,33.871,0.388,0.26,1.612,0.478,-1.223,0.03,0.799,0.251
E01005459,58.548,0.377,0.235,65.624,0.822,1.779,16.57,32.376,0.329,0.615,0.707,0.619,-1.506,1.776,0.527,0.772
E01005460,39.939,0.265,0.155,56.342,0.59,0.84,11.714,38.274,0.266,0.385,0.515,0.569,-1.674,0.727,1.008,0.111
E01005461,46.269,0.318,0.174,50.398,0.969,1.12,12.841,38.221,0.239,0.67,0.076,0.569,-1.418,0.943,0.978,0.192
E01005462,35.44,0.243,0.177,24.185,0.974,0.798,11.838,24.831,0.217,0.459,-0.24,0.41,-0.423,-0.255,0.398,0.243
E01005463,50.26,0.314,0.208,61.981,0.642,1.374,15.599,38.608,0.317,0.393,0.638,0.596,-1.203,1.486,0.924,0.397
