OA21CD,GreenspaceTotal,GreenspacePublic
E00001017,5.2179,0.0925
E00001018,60.2187,0
E00001019,0.586,0
E00001020,0,0
E00001021,0,0
E00001022,0,0
E00001023,3.7542,0
E00001024,0.5972,0
E00001025,0,0
E00001026,1.721,0
E00001027,28.0402,0
E00001028,5.9664,0
E00001029,7.0792,0
E00001030,0,0
E00001031,0,0
E00001032,33.1034,33.1034
E00001033,1.6012,0
E00001034,12.6318,12.6318
E00001035,34.7233,0
E00001036,4.5857,4.0775
E00001037,27.6207,6.3965
E00001038,0,0
E00001039,5.0547,0
E00001040,8.418,4.6267
E00001041,0.596,0
E00001042,2.2815,0
E00001043,0,0
E00001044,4.8099,0
E00001045,0.8093,0
E00001046,33.0538,0
E00001047,0,0
E00001048,0,0
E00001049,0,0
E00001050,12.932,0
E00001051,6.7973,0
E00001052,12.8177,12.8177
E00001053,15.7467,15.7016
E00001054,0,0
E00001055,0.0723,0
E00001056,0,0
E00001057,0.1182,0
E00001058,0,0
E00001059,0,0
E00001060,0,0
E00001061,15.1557,0
E00001062,0,0
E00001063,0,0
E00001064,0,0
E00001065,0,0
E00001066,0,0
E00001067,0,0
E00001068,0,0
E00001069,0,0
E00001071,0,0
E00001072,0,0
E00001073,0,0
E00001074,0,0
E00001075,0.6924,0
E00001076,9.375,0
E00001077,0,0
E00001078,0,0
E00001079,10.1606,10.1606
E00001081,39.5097,0
E00001082,3.0401,0
E00001083,0,0
E00001084,0,0
E00001085,0,0
E00001086,2.5417,0
E00001087,0,0
E00001089,0,0
E00001090,0,0
E00001091,0,0
E00001092,1.491,0
E00001093,0.5262,0
E00001094,0,0
E00001095,0,0
E00001096,0,0
E00001097,0.8087,0
E00001098,3.1498,0
E00001099,0,0
E00001100,0,0
E00001101,0,0
E00001102,0,0
E00001103,0.3945,0
E00001104,0,0
E00001105,9.6607,0
E00001106,0,0
E00001107,0,0
E00001108,0,0
E00001109,3.4756,3.4756
E00001110,0,0
E00001111,0,0
E00001112,0,0
E00001113,0,0
E00001114,26.5906,26.5906
E00001115,0,0
E00001116,0,0
E00001117,0.0463,0
E00001118,7.5765,0
E00001119,0,0
E00001120,0,0
E00001121,0,0
E00001122,41.9176,0
E00001123,20.2017,0
E00001124,1.0406,0
E00001125,2.2384,0
E00001126,0,0
E00001127,0,0
E00001128,5.8758,5.8758
E00001129,29.7608,29.7608
E00001130,0,0
E00001131,0,0
E00001132,2.4814,0
E00001133,4.0011,0
E00001134,2.4549,0
E00001135,0,0
E00001136,0,0
E00001137,0,0
E00001138,0,0
E00001139,0,0
E00001140,0,0
E00001141,5.4963,0
E00001142,0,0
E00001143,0,0
E00001144,0,0
E00001145,0,0
E00001146,0,0
E00001147,0,0
E00001148,0,0
E00001149,0,0
E00001150,0,0
E00001151,4.1218,0
E00001152,1.4066,1.4066
E00001153,0.6487,0
E00001154,31.2105,0
E00001155,0,0
E00001156,0,0
E00001157,0,0
E00001158,0,0
E00001159,0,0
E00001160,0,0
E00001161,0,0
E00001162,0,0
E00001163,0,0
E00001164,0.731,0
E00001165,0,0
E00001166,0,0
E00001167,0.0237,0
E00001168,0,0
E00001169,25.4354,23.7452
E00001170,0,0
E00001171,0.5254,0
E00001172,0,0
E00001173,30.3829,30.3829
