LSOA21CD,TotPopChange_2001_17
E01001147,17.5567
E01001148,8.6028
E01001149,3.8995
E01001150,10.7868
E01001151,26.3994
E01001152,22.2222
E01001153,1.2435
E01001154,24.5003
E01001155,24.7566
E01001156,18.1758
E01001157,7.1817
E01001158,13.7885
E01001159,29.5469
E01001160,21.6042
E01001161,5.5294
E01001162,13.495
E01001163,21.464
E01001164,40.815
E01001165,32.2034
E01001166,33.666
E01001167,50.6757
E01001168,23.1025
E01001169,10.493
E01001170,50.1357
E01001171,27.4725
E01001172,33.85
E01001173,87.6448
E01001174,-3.8485
E01001175,2.6266
E01001176,24.7965
E01001177,18.8416
E01001178,-0.5948
E01001179,-2.2797
E01001180,13.8318
E01001181,52.3578
E01001182,-4.9374
E01001183,22.6552
E01001184,-8.8317
E01001185,6.8255
E01001186,11.2387
E01001187,21.764
E01001188,17.2515
E01001189,-21.3789
E01001190,-1.423
E01001191,34.2556
E01001192,17.0537
E01001193,9.0395
E01001194,1.7964
E01001195,7.383
E01001196,15.0694
E01001197,17.6282
E01001198,13.8259
E01001199,21.928
E01001200,-2.589
E01001201,9.1384
E01001202,50.8086
E01001203,12.0364
E01001204,-2.6384
E01001205,1.0329
E01001206,-16.9204
E01001207,6.5773
E01001208,-6.1069
E01001209,-4.3326
E01001210,4.918
E01001211,5.0157
E01001212,9.0625
E01001213,10.9681
E01001214,1.0932
E01001215,17.122
E01001216,4.828
E01001217,-2.5049
E01001218,7.7405
E01001219,12.0651
E01001220,-14.9091
E01001223,-7.8419
E01001224,-9.6852
E01001225,-2.7501
E01001226,-9.5331
E01001227,-12.939
E01001228,12.1815
E01001229,1.2146
E01001230,-3.6936
E01001231,16.7726
E01001232,-1.9079
E01001233,-2.937
E01001234,4.4629
E01001235,17.441
E01001236,-1.5727
E01001237,3.1995
E01001239,6.5808
E01001240,9.8326
E01001241,17.6067
E01001242,0.9749
E01001243,49.3671
E01001244,102.6676
E01001245,34.3771
E01001246,10.8918
E01001247,36.3318
E01001248,-4.2335
E01001249,33.9296
E01001250,17.5299
E01001251,7.6073
E01001252,43.7176
E01001253,26.4706
E01001254,9.8052
E01001255,3.046
E01001257,22.4771
E01001258,9.1148
E01001259,7.3115
E01001260,15.0862
E01001261,44.6053
E01001262,10.1389
E01001263,8.4746
E01001264,15.8038
E01001265,15.9811
E01001266,6.7857
E01001267,21.5722
E01001268,4.2675
E01001269,25.9398
E01001270,2.133
E01001271,19.2164
E01001272,4.7525
E01001273,5.8787
E01001274,7.6725
E01001275,25.1605
E01001276,22.8682
E01001277,21.6553
E01001278,14.7754
E01001279,-6.8702
E01001280,14.431
E01001281,2.3256
E01001282,2.7338
E01001283,-1.3342
E01001284,-2.0248
E01001285,19.4521
E01001286,3.6315
E01001287,-0.9346
E01001288,-6.0543
E01001289,-1.8396
E01001290,16.9279
E01001291,3.866
E01001292,-2.8536
E01001293,2.557
E01001294,3.9075
E01001295,0.2358
E01001296,2.0818
E01001297,3.5015
E01001298,-3.6158
E01001299,-4.437
E01001300,6.1809
E01001301,-1.7512
E01001302,4.2791
E01001303,5.443
E01001304,6.7585
E01001305,5.783
E01001306,8.3663
E01001307,11.4422
E01001308,13.3963
E01001309,13.2704
E01001310,15.6428
E01001311,13.1654
E01001312,-0.0565
E01001313,7.6031
E01001314,-0.5818
E01001315,2.3471
E01001316,8.3564
E01001317,22.0513
E01001318,26.0103
E01001319,5.7595
E01001320,13.891
E01001321,32.0939
E01001322,19.4762
E01001323,18.4125
E01001324,17.1309
E01001325,2.2714
E01001326,13.4565
E01001327,18.5256
E01001328,12.2807
E01001329,16.1868
E01001330,13.0711
E01001331,8.8021
E01001332,11.3518
E01001333,31.0738
E01001334,-3.7337
E01001335,4.0233
E01001336,8.299
E01001337,-1.8519
E01001338,7.4096
E01001339,-11.5942
E01001340,8.7678
E01001341,16.6558
E01001342,21.7503
E01001343,0.7607
E01001344,55.1909
E01001345,16.3838
E01001346,8.9317
E01001347,13.3737
E01001348,4.1393
E01001349,-1.6174
E01001350,4.4008
E01001351,29.2909
E01001352,13.1429
E01001353,-1.6426
E01001354,31.4119
E01001355,-0.1187
E01001356,17.9975
E01001357,0.9272
E01001358,-23.5216
E01001359,13.244
E01001360,0.2538
E01001361,16.6288
E01001362,4.5455
E01001363,8.1707
E01001364,-7.6027
E01001365,-0.0867
E01001366,18.6572
E01001367,43.949
E01001368,5.8999
E01001369,21.6998
E01001370,6.967
E01001371,31.7869
E01001372,28.1038
E01001373,25.6463
E01001374,12.2573
E01001375,6.4621
