LSOA21CD,EntirehomesPer,BedspacePer
E01000763,0.185528757,0.492264416
E01000764,0.147275405,0.328407225
E01000765,0,0.500556174
E01000766,0,0.329127811
E01000767,0,0.125
E01000768,0,0
E01000769,0.210970464,0.356633381
E01000770,0,0.409836066
E01000771,0,0.298151461
E01000772,0,0.372208437
E01000773,0,0.814026299
E01000774,0,0.336700337
E01000775,0,0.462184874
E01000777,0,0.308832613
E01000778,0,0.122774708
E01000779,0.161550889,1.352313167
E01000780,0,0.628930818
E01000781,0.154320988,0.810979414
E01000782,0,0.132275132
E01000783,0.151975684,0.747663551
E01000784,0,0
E01000785,0,0.188679245
E01000786,0.153374233,0.827586207
E01000787,0.288184438,1.082543978
E01000788,0.15625,0.244200244
E01000789,0.144927536,0.269978402
E01000790,0.089047195,0.33970276
E01000791,0.157232704,0.670241287
E01000792,0.338983051,0.796284008
E01000793,0,0.387346675
E01000794,0,0
E01000795,0.182481752,0.571428571
E01000796,0.152439024,0.328731098
E01000797,0.412087912,1.75
E01000798,0.131233596,1.139410188
E01000799,0.370828183,2.010869565
E01000800,0.350877193,1.573849879
E01000801,0.142450142,1.530272788
E01000802,0.35971223,1.719505642
E01000803,0.387096774,3.0625
E01000804,0,1.410437236
E01000805,0.121212121,0.845410628
E01000806,0.490196078,2.201622248
E01000807,0.151057402,0.121876904
E01000808,0,0
E01000809,0,0.063816209
E01000810,0,0.195567145
E01000811,0.169491525,0.797101449
E01000812,0,0
E01000813,0,0
E01000814,0,0.062189055
E01000815,0,0
E01000816,0,0.262639527
E01000818,0,0.360144058
E01000819,0.127226463,0.820120284
E01000820,0.401069519,1.155015198
E01000822,0.397350993,1.625
E01000823,0.64683053,1.872440023
E01000824,0.335008375,1.213418986
E01000825,0,0.653983353
E01000826,0,0
E01000827,0.120918984,0.22611645
E01000828,0,0.057273769
E01000829,0,0.507042254
E01000830,0,0.242571255
E01000831,0.120192308,0.521134916
E01000832,0,0.78023407
E01000833,0,0.135409614
E01000834,0.21141649,0.511695906
E01000835,0,0.287191269
E01000836,0,0.141944642
E01000837,0,0.526315789
E01000838,0,0
E01000839,0,0.149588631
E01000840,0,0
E01000841,0,0
E01000842,1.012658228,6.126616746
E01000843,1.17370892,8.079142622
E01000844,0.85106383,6.976744186
E01000845,1.259445844,7.217766811
E01000846,0.91047041,4.644990046
E01000847,0.408163265,3.201506591
E01000848,0.699300699,6.315104167
E01000849,2.134831461,7.391613362
E01000850,9.651474531,36.69250646
E01000851,11.663286,45.29540481
E01000853,4.394299287,22.406639
E01000855,2.294596595,22.00772201
E01000856,3.278688525,18.29194428
E01000857,0.979020979,4.287790698
E01000858,1.814058957,10.24340771
E01000859,1.936218679,9.247757074
E01000860,1.831501832,12.26831421
E01000861,4.019488429,22.92682927
E01000862,2.294056309,12.956621
E01000863,5.700123916,24.80211082
E01000866,1.956947162,12.31051906
E01000867,3.121387283,17.75599129
E01000868,0.819672131,5.993340733
E01000869,0.921187308,8.164300203
E01000870,0.631313131,7.596513076
E01000871,0.691562932,2.855407047
E01000872,0.585365854,4.481792717
E01000873,0.677506775,3.360298693
E01000874,0.976290098,3.324287653
E01000875,1.030927835,6.094527363
E01000876,1.827956989,6.446776612
E01000877,1.049868766,6.321112516
E01000878,0.529100529,3.587699317
E01000879,2.377414562,7.783018868
E01000880,0.448430493,5.988857939
E01000881,0.857142857,4.904632153
E01000882,0.631313131,6.356801094
E01000883,0.731452456,5.929095355
E01000884,0.874635569,4.36534587
E01000885,0.78369906,4.424103738
E01000886,0.460829493,3.442999235
E01000887,0.991501416,4.899135447
E01000888,0.588235294,4.897959184
E01000889,0.260756193,2.214650767
E01000890,0.148809524,2.841781874
E01000891,1.709401709,5.459571527
E01000892,0.754310345,4.715447154
E01000893,1.19205298,5.391432792
E01000894,1.365705615,6.328125
E01000895,1.528384279,7.736943907
E01000896,3.65535248,9.588116138
E01000897,0.796812749,4.696305573
E01000898,1.361256545,6.774580336
E01000899,1.199040767,5.753595997
E01000900,2.716688228,9.453652548
E01000901,1.767676768,5.823714586
E01000902,1.538461538,4.695164681
E01000903,1.265822785,5.306122449
E01000904,1.12936345,8.353929807
E01000905,1.066350711,7.037974684
E01000906,2.521008403,9.364319891
E01000907,0.313479624,2.139800285
E01000908,0,4.228187919
E01000909,0.1447178,3.099814011
E01000910,0.661157025,5.801526718
E01000911,0.586510264,3.576248313
E01000912,0.274725275,6.045016077
E01000913,0.727272727,4.711717297
E01000914,7.4735987,40.6587473
E01000915,3.169572108,12.52485089
E01000916,3.330411919,23.33166081
E01000917,2.183908046,9.939393939
E01000918,7.678883072,36.64349553
E01000919,9.839167455,57.26600985
E01000920,3.864278982,20.37940379
E01000921,0.677637948,7.462686567
E01000922,2.016129032,8.623548922
E01000923,0.714285714,4.692891649
E01000924,0.624219725,4.623179227
E01000925,0.162337662,2.729044834
E01000926,0.29717682,6.115591398
E01000927,0.788436268,7.461692205
E01000928,0.732600733,5.954465849
E01000929,0.872817955,6.36550308
E01000930,1.022012579,6.98630137
E01000931,0.931098696,12.57741782
E01000932,0.508646999,4.515050167
E01000933,1.439645626,8.044692737
E01000934,0.381194409,6.689189189
E01000935,0.391134289,4.017576899
E01000937,2.982107356,12.71966527
E01000938,6.048906049,26.08079376
E01000939,4.753199269,29.17951882
E01000941,2.504472272,18.27326069
E01000942,1.387137453,16.25
E01000943,2.992125984,13.05469556
E01000944,1.123595506,7.407407407
E01000946,2.988260406,18.66345575
E01000947,5.459770115,30.50471436
E01000948,2.774566474,12.71901363
E01000949,0.785340314,3.839122486
E01000951,2.435064935,7.409793814
E01000952,1.44092219,5.856595512
E01000954,1.141226819,3.96039604
