MSOA21CD,PersonalDebt,HHInc_afterCosts,HHInc_afterCosts_equivalised,HHInc_beforeCosts,HHInc_beforeCosts_equivalised
E02006163,621.0578,36900,25000,29000,27400
E02006164,616.5107,32900,22900,25600,26100
E02006165,587.8117,41200,28000,31100,31200
E02006166,532.8736,43600,29900,33300,32000
E02006167,526.5134,36100,24100,29900,27200
E02006168,419.376,34700,25600,28700,29800
E02006169,539.1379,37000,27000,31400,29400
E02006170,558.808,44600,30400,35900,33500
E02006171,584.2222,42400,29000,33100,30700
E02006172,631.5473,54000,35800,39500,36100
E02006173,578.0685,49600,34300,43300,39800
E02006174,673.6521,44400,32000,36700,33800
E02006175,841.825,41000,28400,34500,31700
E02006176,680.1522,46300,34200,37800,33900
E02006177,665.5788,40700,30200,33300,31200
E02006178,652.1882,38300,28000,32100,30100
E02006179,463.1661,43400,31200,34900,32600
E02006180,609.1561,40300,26800,34100,29200
E02006181,556.6959,37600,28000,32600,31100
E02006182,550.5089,51400,35800,39400,35400
E02006185,565.4804,38600,29400,33500,31100
E02006186,624.4372,46100,33200,37400,33600
E02006187,516.9527,47200,35000,38800,34600
E02006188,611.7963,46500,33600,36800,32900
E02006189,689.2458,47400,35400,38900,34300
E02006190,698.5588,43100,31400,34100,32600
E02006191,664.4516,51600,35900,39900,36800
E02006192,778.2545,49700,35000,39800,35700
E02006193,728.4886,49900,33900,37300,34100
E02006194,845.0557,42600,30000,34600,31300
E02006195,707.49,48900,35200,39300,34600
E02006196,701.2219,41200,28200,31500,30600
E02006197,646.0512,40200,26600,29300,31000
E02006198,721.8828,54300,34300,40100,35400
E02006199,620.9701,52400,36300,40600,36200
E02006200,638.4155,36600,26000,31200,28400
E02006201,686.3278,55700,37500,41100,36800
E02006202,672.5214,49000,34900,38700,34200
E02006203,670.5429,40000,28200,32600,30800
E02006204,434.7387,36800,26900,31100,28900
E02006205,543.7311,47900,33000,37100,35100
E02006206,563.1646,37500,24700,29700,28100
E02006207,495.9724,40700,29600,32600,30700
E02006208,433.9901,34600,25700,28300,28700
E02006209,500.8586,45400,31300,34700,32000
E02006210,538.9094,44400,31800,36000,34000
E02006211,604.7055,45100,32100,36100,33700
E02006212,589.3201,45700,31200,35100,32000
E02006213,562.5829,40900,30400,34400,32500
E02006214,549.196,37700,28400,31100,30700
E02006215,591.8592,42000,31400,34500,32400
E02006216,620.2119,45200,31800,36100,33500
E02006217,639.9298,43800,30000,34700,30600
E02006218,617.6684,35800,24800,29000,28500
E02006219,685.8761,44000,28400,35300,30600
E02006220,685.0023,39800,26800,31500,29300
E02006221,694.9797,47300,29900,36300,34200
E02006222,762.1785,39500,26200,31600,29100
E02006223,887.8843,33300,22000,25400,24500
E02006224,756.8312,47900,31200,38400,33200
E02006225,763.531,46700,32600,37300,33600
E02006226,782.4613,44500,29400,35400,31500
E02006227,547.6965,45500,30600,35600,33500
E02006228,637.9153,43900,31500,34100,33100
E02006229,516.4514,42500,31100,33400,31400
E02006230,495.9946,44800,30400,33600,32200
E02006231,572.1198,49100,33000,36400,34600
E02006232,610.3034,44300,32000,36600,34600
E02006233,513.6314,38500,28800,30100,30300
E02006234,643.9582,42300,29500,33000,30500
E02006235,568.8501,50300,37400,42300,38900
E02006236,582.6609,48900,32700,38400,35400
E02006237,535.9845,47000,33300,35800,34100
E02006238,526.5592,38800,27400,29000,28900
E02006239,439.7489,47500,29300,32900,30800
E02006240,632.9407,45200,29600,33300,32300
E02006241,507.5513,42100,27000,30700,29400
