OA21CD,SMEDebt
E00001395,3356.7
E00001396,1978.32
E00001397,931.63
E00001398,835.48
E00001399,1178.83
E00001400,1777.67
E00001401,845.33
E00001402,1583.26
E00001403,846.13
E00001404,960.01
E00001405,835.2
E00001406,865.91
E00001407,887.4
E00001408,774.35
E00001410,842.16
E00001411,1040.14
E00001412,896.13
E00001413,930.62
E00001415,877.15
E00001416,985.36
E00001417,1012.25
E00001418,901.42
E00001419,769.41
E00001420,778.61
E00001421,944.59
E00001422,1704.6
E00001423,1693.5
E00001424,1744.23
E00001425,6487.77
E00001426,1869.38
E00001427,3402.43
E00001428,1404.66
E00001429,4014.37
E00001430,2801.22
E00001431,927.74
E00001432,824.25
E00001433,905.72
E00001434,843.14
E00001435,1846.55
E00001436,2131.72
E00001437,634.08
E00001438,902.72
E00001439,1584.36
E00001440,745.97
E00001441,2043.56
E00001442,763.14
E00001443,918.61
E00001444,1857.28
E00001445,830.9
E00001446,14218.34
E00001447,6002.85
E00001448,15185.33
E00001449,12359.19
E00001450,15376.2
E00001451,7278.64
E00001452,14366.71
E00001453,20008.49
E00001454,7324.75
E00001455,11005.97
E00001456,6828.62
E00001457,6795.51
E00001458,15833.34
E00001459,6409.97
E00001460,6533.32
E00001461,6550.93
E00001462,7032.45
E00001463,7361.42
E00001464,6502.76
E00001465,6604.52
E00001466,6689.99
E00001467,7249.53
E00001468,7802.86
E00001469,5756.95
E00001470,2733.13
E00001471,6538.64
E00001472,2744.5
E00001474,6065.67
E00001475,4058.89
E00001476,8191.33
E00001477,7041.26
E00001478,5402.26
E00001479,5633.88
E00001480,9141.82
E00001481,18419.93
E00001482,6577.45
E00001483,19090.71
E00001484,13399.2
E00001485,17831.21
E00001486,16546.72
E00001487,18873.98
E00001488,19612.86
E00001489,19048.03
E00001490,18291.35
E00001491,20204.64
E00001492,11096.44
E00001493,15747.6
E00001494,6269.13
E00001495,3770.35
E00001496,3177.76
E00001497,11533.63
