LSOA21CD,ViolenceSex_1kPersons_15plus,Robbery_1kPersons_15plus,BikeTheft_1kPersons_15plus,Burglary_1kPersons_15plus,Shoplifting_1kPersons_15plus,TheftPerson_1kPersons_15plus,VehicleCrime_1kPersons_15plus,TheftOffences_1kPersons_15plus,CrimDamageArson_1kPersons_15plus,Drugs_1kPersons_15plus,PossessionWeapons_1kPersons_15plus,PublicOrder_1kPersons_15plus,TotExclASB_1kPersons_15plus,ASB_1kPersons_15plus
E01000055,20.12,2.52,0,3.07,0,1.12,10.9,15.09,5.03,3.63,0.28,2.52,53.94,4.75
E01000056,41.12,3.38,2.25,4.79,0,0.85,16.62,24.51,6.76,3.38,0,5.63,91.54,25.07
E01000057,64.06,17.64,2.17,9.9,23.21,8.05,19.5,62.82,14.85,10.52,2.48,13.62,186.92,21.66
E01000058,49.53,6.92,0,4.02,0,4.46,11.6,20.08,6.69,7.59,1.34,8.03,103.07,22.31
E01000059,34.82,5.53,0.28,4.97,0,0.28,12.16,17.68,4.7,2.49,0.28,5.53,71.57,9.39
E01000060,50.36,6.35,4.54,8.85,6.58,3.86,17.47,41.29,14.97,6.58,1.13,17.69,158.79,34.71
E01000061,94.12,4.11,0.77,5.66,0.51,1.8,18.52,27.26,14.66,8.49,1.29,19.54,184.13,64.81
E01000062,38.19,2.97,0.21,7.21,1.7,1.27,13.15,23.55,8.06,5.09,1.27,9.33,95.89,25.67
E01000063,31.13,1.34,0.27,4.03,0,0.54,15.57,20.4,7.25,2.42,0,4.56,71.39,11.54
E01000064,57.35,2.67,0.41,7.61,4.93,1.03,14.59,28.57,8.84,6.58,0.82,7.4,125.6,20.35
E01000065,41.7,1.16,0,6.99,0,1.4,12.11,20.5,3.73,6.99,0.23,3.73,86.19,30.52
E01000066,24.89,2.6,0.37,5.01,0,1.49,14.67,21.54,4.46,4.83,0.37,2.97,66.12,21.36
E01000067,11.64,1.27,0,4.02,0,1.69,11.01,16.72,2.75,2.54,0.42,3.17,41.06,15.66
E01000068,30.93,9.74,0.24,2.19,0,5.36,12.91,20.7,4.38,30.69,1.22,4.14,106.68,34.34
E01000069,15.15,0.43,0,2.81,0,0.65,7.58,11.04,1.73,3.46,0,3.03,38.53,11.69
E01000070,32.65,7.38,1.34,9.39,59.49,4.47,18.34,93.03,8.27,8.5,0.45,8.72,164.82,37.35
E01000071,32.93,2.86,0.72,4.29,0.18,0.54,16.28,22.01,3.58,4.12,0,4.12,75.88,20.58
E01000072,45.11,8.06,1.38,7.59,26.93,2.3,13.58,51.78,7.83,7.83,0.46,10.36,138.55,26.47
E01000073,25.04,7.83,0,6,0,1.04,11.22,18.26,1.83,5.48,0.52,4.96,63.65,18.26
E01000074,43.91,0.55,0.27,4.12,0,0.55,11.8,16.74,5.49,2.74,0.55,5.21,85.63,13.72
E01000075,30.88,4.61,0.92,5.07,0.46,3,15.67,25.12,5.07,7.14,0.69,5.53,83.19,21.2
E01000076,22.85,0.66,0.22,3.3,0,0,8.57,12.08,6.15,1.98,0.22,2.64,52.29,9.23
E01000077,35.08,6.3,0.82,5.21,1.1,1.37,15.35,23.84,6.85,2.74,0.55,5.21,83.03,32.06
E01000078,56.65,5.01,0.53,6.06,3.16,3.69,16.34,29.78,10.8,4.22,1.58,9.22,121.48,18.45
E01000079,26.41,5.84,0,3.89,0,1.67,15.01,20.57,4.17,6.67,0.28,3.06,70.61,15.57
E01000080,29.66,4.81,0.27,3.74,0,1.34,12.29,17.63,5.88,2.67,1.6,3.21,65.99,20.84
E01000081,27.48,1.42,0.71,4.03,0,0.95,10.42,16.11,4.5,2.37,0.47,5.69,65.86,12.56
E01000082,43.24,3.93,0.25,7.37,61.18,1.23,13.76,83.78,5.65,4.91,0.98,10.07,162.16,36.12
E01000083,24.07,1.04,0.78,4.14,0,0.52,6.21,11.65,3.88,1.81,0,2.33,49.18,17.6
E01000084,37.02,3.97,1.65,4.3,0.33,3.64,8.6,18.51,6.61,8.93,0.33,5.95,85.29,18.51
E01000085,27.31,2.59,0.57,5.17,0.86,0.86,9.2,16.67,5.75,3.45,0.86,5.75,66.12,27.31
E01000086,47.98,3.92,0.33,5.55,0.33,1.31,15.34,22.85,9.14,2.61,0.33,8.16,101.52,31.66
E01000087,49.4,8.48,0.88,11.4,10.82,4.68,70.74,98.51,14.62,10.23,1.17,12.28,210.76,39.46
E01000088,50.86,4.91,1.97,5.16,1.23,1.97,15.48,25.8,8.11,4.18,1.72,6.39,108.6,20.15
E01000089,18.06,0.83,0,4.72,0,0.83,6.67,12.22,7.5,3.06,0.28,1.39,47.5,15.56
E01000090,56.35,5.23,1.16,10.17,0,0.58,15.39,27.3,10.17,13.36,0.87,11.33,144.35,34.27
E01000091,49.43,1.21,0.24,4.82,0.72,0.72,14.23,20.74,8.44,3.86,0.48,7.48,102.72,26.77
E01000093,40.64,4.58,0.54,4.31,0.27,0.81,11.04,16.96,7.81,8.34,1.61,8.34,93.13,23.42
E01000094,39.19,1.26,0.21,3.98,0.21,0.42,9.85,14.67,5.03,2.1,0.84,3.35,75.24,16.35
E01000095,107.13,19.11,10.62,17.23,103.36,6.14,82.36,219.69,22.18,24.78,1.42,24.07,438.91,91.79
E01000096,56.94,6.61,1.26,11.95,0,2.52,35.55,51.27,13.53,6.61,0.94,11.64,159.17,38.69
E01000097,37.13,2.46,0.25,5.65,0,0.74,13.28,19.92,7.87,2.7,0,4.67,79.66,19.67
E01000098,34.87,4.55,0.25,8.34,4.04,0.76,10.11,23.5,7.58,2.27,0.76,4.8,133.43,18.19
E01000099,34.5,1.94,0.18,7.92,0.18,0.7,13.73,22.71,7.04,2.82,0.88,3.7,80.79,28.87
E01000100,31.8,3.53,0,4.54,0,0.5,11.36,16.4,6.56,3.53,0.25,4.04,72.93,24.23
E01000101,42.6,3.02,0.55,4.67,1.1,1.1,14.57,21.99,5.77,4.12,0.27,4.67,86.03,38.21
E01000102,35.48,2.75,0,7.15,0,0.83,13.2,21.18,5.23,3.3,0.28,3.58,75.37,11.83
E01000103,34.26,1.35,0.27,8.9,0.27,0.27,15.65,25.36,4.32,7.01,0.81,4.05,84.7,11.33
E01000104,35.18,2.05,0.26,8.22,1.8,0.77,11.04,22.09,8.99,4.37,0.77,4.62,92.71,32.61
E01000105,70.8,11.7,2.87,8.82,25.86,11.9,16.42,65.87,15.39,14.78,2.46,13.75,212.39,57.46
E01000106,60.76,2.03,0.45,10.62,0.45,1.58,16.94,30.04,12.42,12.2,0.68,12.42,139.36,31.39
E01000107,34.82,2.62,0,7.85,0,0.52,9.69,18.06,3.93,2.09,0.52,2.88,70.16,13.61
E01000108,45.99,4.25,1.5,8.25,7.25,2,12.75,31.74,9,4.5,0.75,7,107.47,31.99
E01000110,25.18,2.05,0,2.64,0.29,0.29,26.06,29.28,8.78,1.76,0.29,2.93,77,30.74
E01000111,42.21,3.55,1.33,10.44,5.33,2.89,21.77,41.76,7.77,7.11,0.89,7.77,122.17,25.77
E01000112,29.45,3.83,1.68,4.31,0.96,2.39,16.04,25.38,4.31,5.75,0,9.1,82.59,45.01
E01000113,44.01,6.15,0.47,9.23,4.5,2.13,15.38,31.7,11.36,4.97,0.95,9.94,117.35,22.48
E01000114,43.52,2.3,1.05,9,3.98,2.09,13.81,29.92,8.79,5.65,0.84,9.62,108.38,25.53
E01000115,7.35,0,0,4.59,0,0,10.71,15.3,2.14,0.31,0,0.61,28.47,12.55
E01000116,15.75,2.1,0.26,7.09,1.05,0.53,15.49,24.42,2.1,3.15,0.26,4.46,56.71,12.34
E01000117,14.41,1.03,0,4.37,0,0.51,13.9,18.79,3.86,0.26,0,3.86,44.52,7.46
